Month-Year,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
Feb-78,174102.6,114671.9,79443.1,45551.1,42964.4,13312.5,4690.6,8080.6
Mar-78,150934,104439.5,74586.8,39534.2,34654.7,11579.3,3202.5,5918.9
Apr-78,149239.8,96852.7,66305.8,37252.7,34153.6,10270.5,2480,6821.7
May-78,139420.9,100265.7,66668.6,39938.4,33266.2,10619,2618.6,5610.8
Jun-78,138975.5,94652,66551.3,40630.5,33799.7,10966.8,1690.6,6224
Jul-78,131654.7,90063.4,62391.8,39582.7,37114.7,11375.4,2091.3,6257.8
Aug-78,133799,100760.8,63023.6,44150.5,37719.1,10904.6,1708.7,6223.8
Sep-78,134316.7,88725.3,62489.3,47060.2,35363.5,11083.7,2586.8,5701.2
Oct-78,125825.7,88395.4,53322.5,45602.6,35597,10732.6,2989.5,7906.4
Nov-78,132335.8,83254.2,57796.3,43918.8,35443.3,10431.7,3123.7,6478.4
Dec-78,143209.9,113724.6,72467.5,46531.2,42706.1,12903.6,2796.4,10274.7
Jan-79,148644.6,105593.1,77816.7,45889.6,45144.7,13733.5,2669.1,10411.8
Feb-79,150300,110534,76808.5,49663.5,47210.3,12378.2,3123.6,8067
Mar-79,145151.1,98782.7,72995.7,48208,41484,11866.2,1615.2,8279.4
Apr-79,147545.3,100813.9,68639.1,41269.6,42235.2,9702.9,2607.5,7757.2
May-79,141814.5,91069.9,61842.6,44354.6,39172.2,10921.3,3030.1,7858.2
Jun-79,134501.9,94875.4,63945,44692,37812.2,7855.4,2299.4,7030.1
Jul-79,134159,92649.9,58843.5,39617.3,42393.9,10933.5,2143.5,6357.4
Aug-79,118042,95701,55264.7,45176.2,41949.3,12447.7,2492.3,6423.7
Sep-79,125967.2,109354.4,57325.9,45950,40454.3,11758.5,3898.2,5722.6
Oct-79,125379.5,104013.6,55543.1,43955.1,42859.9,10963.2,3291.6,5374.3
Nov-79,119017.8,95935.9,53713.2,38595.2,38076.7,10250.8,2150.2,5812
Dec-79,136705.3,104411.8,69589.8,44714.8,50524.1,13975.3,3664.2,7374.7
Jan-80,145569.8,106135.1,70542.9,47769.2,46293.7,13992.6,3243.6,8118.3
Feb-80,146278.5,109509.4,73700.9,48703.7,46996.4,13411.4,1900.3,8036.4
Mar-80,134252.1,105393.3,71115.2,44386.8,39731,12531.6,1468.6,6763.7
Apr-80,129097.5,104501.4,73250.9,45994.7,36534.4,12108,1546.2,4946.4
May-80,136452.5,104074.2,69079.9,50543.6,36115,11476.6,1749,7087.8
Jun-80,128479.5,107852.1,69108.8,48195.3,36264.1,11235.3,1157.2,7047.4
Jul-80,125431.6,103316.3,61099.8,44954.5,35932.7,9354.2,1320.6,6238.7
Aug-80,128146.8,103943.4,60053.8,47740.8,37066,9404.5,2556.3,5598.9
Sep-80,131615.3,108816.2,62677.2,49899.3,34994.8,10465.5,2692.8,6409.3
Oct-80,118365.4,104743.9,55945.3,46443,34880.5,10650.2,2643.1,4831.2
Nov-80,118631.3,95809.2,53307.7,43500.6,30721.4,10899.6,2278.4,4491.5
Dec-80,137480.5,120054.3,68790.7,45923.2,40668.6,14250.8,2340,6204.6
Jan-81,142785.8,108278.1,70333.6,50120.8,39497.6,13290.2,3065.3,6474
Feb-81,137664,116169.1,65573.6,46368.6,38360.8,12578.5,2065.6,8877.1
Mar-81,131712.6,112730.9,63516.2,45125.4,38001,13125.9,2163.5,6971.1
Apr-81,121663.1,98160.4,60498.4,46714.6,32383.7,11386.1,3338.7,5340.4
May-81,117449.7,104799.6,56907.3,46732.3,33351.8,9926.4,2966.7,7162.8
Jun-81,103347.7,96227.6,55118.1,44486.6,33059.4,11431.3,3900.2,6102.3
Jul-81,116175.5,97966.8,57813.3,49140.5,33278.4,13795.9,3449.6,6615.7
Aug-81,112960.1,100667,59889.1,48502.7,37216.2,13404.2,1850.3,6067.3
Sep-81,120467.4,108427,56470.4,47910.4,39190.4,13126.8,1558.6,6808.3
Oct-81,117531.7,95080.9,56211.5,49503.6,34538.1,13132.9,2945.4,5034.8
Nov-81,126758.6,90809.8,53481.8,46065.6,36919.3,12094.2,3944.4,4945
Dec-81,137974.8,108978.6,69010.8,50043.7,45318.6,17159.3,2232,6843.7
Jan-82,145394.1,105336.6,69006.7,49429.2,48073.9,16942.3,2970.2,6708.8
Feb-82,163259.2,122242,75175.8,51168.9,46869.7,17755.6,4697.7,7673.8
