Player,Age
Aaron Gordon,23
Aaron Holiday,22
Abdel Nader,25
Al Horford,32
Al-Farouq Aminu,28
Alan Williams,26
Alec Burks,27
Álex Abrines,25
Alex Caruso,24
Alex Len,25
Alex Poythress,25
Alfonzo McKinnie,26
Alize Johnson,22
Allen Crabbe,26
Allonzo Trier,23
Amile Jefferson,25
Amir Johnson,31
Andre Drummond,25
Andre Iguodala,35
Andre Ingram,33
Andrew Bogut,34
Andrew Harrison,24
Andrew Wiggins,23
Anfernee Simons,19
Ángel Delgado,24
Ante Žižić,22
Anthony Davis,25
Anthony Tolliver,33
Antonio Blakeney,22
Aron Baynes,32
Austin Rivers,26
Avery Bradley,28
B.J. Johnson,23
Bam Adebayo,21
Ben McLemore,25
Ben Simmons,22
Billy Garrett,24
Bismack Biyombo,26
Blake Griffin,29
Boban Marjanović,30
Bobby Portis,23
Bogdan Bogdanović,26
Bojan Bogdanović,29
Bonzie Colson,23
Brad Wanamaker,29
Bradley Beal,25
Brandon Goodwin,23
Brandon Ingram,21
Brandon Knight,27
Brandon Sampson,21
Brook Lopez,30
Bruce Brown,22
Bruno Caboclo,23
Bryn Forbes,25
Buddy Hield,26
C.J. Miles,31
C.J. Williams,28
Caleb Swanigan,21
Cameron Payne,24
Cameron Reynolds,23
Caris LeVert,24
Carmelo Anthony,34
Cedi Osman,23
Chandler Hutchison,22
Chandler Parsons,30
Channing Frye,35
Chasson Randle,25
Cheick Diallo,22
Chimezie Metu,21
Chris Boucher,26
Chris Chiozza,23
Chris Paul,33
Christian Wood,23
CJ McCollum,27
Clint Capela,24
Cody Zeller,26
Collin Sexton,20
Corey Brewer,32
Cory Joseph,27
Courtney Lee,33
Cristiano Felício,26
D.J. Augustin,31
D.J. Stephens,28
D.J. Wilson,22
D'Angelo Russell,22
Dairis Bertāns,29
Damian Jones,23
Damian Lillard,28
Damion Lee,26
Damyean Dotson,24
Daniel Hamilton,23
Daniel Theis,26
Danilo Gallinari,30
Danny Green,31
Dante Cunningham,31
Dante Exum,23
Danuel House,25
Dario Šarić,24
Darius Miller,28
Darren Collison,31
Daryl Macon,23
David Nwaba,26
Dāvis Bertāns,26
Davon Reed,23
De'Aaron Fox,21
De'Anthony Melton,20
Deandre Ayton,20
DeAndre Jordan,30
DeAndre' Bembry,24
Delon Wright,26
DeMar DeRozan,29
DeMarcus Cousins,28
DeMarre Carroll,32
Demetrius Jackson,24
Deng Adel,21
Dennis Schröder,25
Dennis Smith,21
Deonte Burton,25
Derrick Favors,27
Derrick Jones,21
Derrick Rose,30
Derrick White,24
DeVaughn Akoon-Purcell,25
Devin Booker,22
Devin Harris,35
Devin Robinson,23
Devonte' Graham,23
Dewayne Dedmon,29
Deyonta Davis,22
Dillon Brooks,23
Dion Waiters,27
Dirk Nowitzki,40
Domantas Sabonis,22
Donatas Motiejūnas,28
Donovan Mitchell,22
Donte DiVincenzo,22
Donte Grantham,23
Dorian Finney-Smith,25
Doug McDermott,27
Dragan Bender,21
Draymond Green,28
Drew Eubanks,21
Duncan Robinson,24
Dusty Hannahs,25
Dwayne Bacon,23
Dwight Howard,33
Dwight Powell,27
Dwyane Wade,37
Džanan Musa,19
E'Twaun Moore,29
Ed Davis,29
Edmond Sumner,23
Ekpe Udoh,31
Elfrid Payton,24
Elie Okobo,21
Emanuel Terry,22
Emmanuel Mudiay,22
Enes Kanter,26
