id,funded_amount,loan_amount,activity,sector,use,country_code,country,region,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date
653068,150,150,Transportation,Transportation,To repair their old cycle-van and buy another one to rent out as a source of income,IN,India,Maynaguri,INR,334,2014-01-01 09:58:07+00:00,2013-12-17 08:00:00+00:00,2014-01-01 16:01:36+00:00,43,6,"user_favorite, user_favorite",female,bullet,1/1/14
653067,200,200,Dairy,Agriculture,To purchase a dairy cow and start a milk products business .,IN,India,Maynaguri,INR,334,2014-01-01 09:51:02+00:00,2013-12-16 08:00:00+00:00,2014-01-01 17:18:09+00:00,43,8,"user_favorite, user_favorite",female,bullet,1/1/14
653075,225,225,Poultry,Agriculture,to expand her existing  poultry farm business.,IN,India,Dhupguri,INR,334,2014-01-01 11:24:40+00:00,2013-12-20 08:00:00+00:00,2014-01-01 18:58:18+00:00,43,7,user_favorite,female,bullet,1/1/14
653066,250,250,Sewing,Services,to purchase a sewing machine.,IN,India,Maynaguri,INR,334,2014-01-01 09:48:35+00:00,2013-12-13 08:00:00+00:00,2014-01-01 17:18:09+00:00,43,4,"user_favorite, user_favorite",female,bullet,1/1/14
653074,250,250,Farming,Agriculture,to purchase potato seeds and fertilizers for growing potatoes on her own land.,IN,India,Dhupguri,INR,334,2014-01-01 11:13:09+00:00,2013-12-13 08:00:00+00:00,2014-01-01 19:01:19+00:00,43,9,,female,bullet,1/1/14
653069,250,250,Construction Supplies,Construction,to purchase stones for starting a business supplying stones to building contractors.,IN,India,Maynaguri,INR,334,2014-01-01 10:04:17+00:00,2013-12-10 08:00:00+00:00,2014-01-01 22:12:43+00:00,43,10,"user_favorite, user_favorite",female,bullet,1/1/14
653071,125,125,Farming,Agriculture,to purchase potato seeds and fertilizers for growing potatoes.,IN,India,Maynaguri,INR,334,2014-01-01 10:35:20+00:00,2013-12-17 08:00:00+00:00,2014-01-01 16:06:47+00:00,43,5,,female,bullet,1/1/14
653073,250,250,Farming,Agriculture,to purchase potato seeds and fertilizer for farming potatoes.,IN,India,Dhupguri,INR,334,2014-01-01 11:09:26+00:00,2013-12-19 08:00:00+00:00,2014-01-01 21:47:05+00:00,43,10,,female,bullet,1/1/14
653072,250,250,Farming,Agriculture,to cultivate broad beans on her own land.,IN,India,Dhupguri,INR,334,2014-01-01 10:41:48+00:00,2013-12-19 08:00:00+00:00,2014-01-01 19:56:40+00:00,43,10,"user_favorite, user_favorite",female,bullet,1/1/14
653070,150,150,Farming,Agriculture,to purchase potato seeds and fertilizers for cultivating potatoes.,IN,India,Maynaguri,INR,334,2014-01-01 10:12:14+00:00,2013-12-17 08:00:00+00:00,2014-01-01 18:21:56+00:00,43,6,,female,bullet,1/1/14
653272,250,250,Farming,Agriculture,to purchase potato seeds and fertilizers for growing potatoes on her own land.,IN,India,Dhupguri,INR,334,2014-01-02 10:34:30+00:00,2013-12-20 08:00:00+00:00,2014-01-02 22:17:27+00:00,43,10,"#Eco-friendly, #Sustainable Ag, #Parent",female,bullet,2/1/14
653274,250,250,Construction Supplies,Construction,to purchase sand and stone for expanding the business.,IN,India,Maynaguri,INR,334,2014-01-02 10:44:11+00:00,2013-12-17 08:00:00+00:00,2014-01-02 22:58:25+00:00,43,7,"#Eco-friendly, #First Loan, #Schooling",female,bullet,2/1/14
653175,3175,3175,Agriculture,Agriculture,"To purchase standard quality seeds, fertilizers and pesticides for her vegetable cultivation.",IN,India,"Balipatna, Odisha",INR,241,2014-01-02 06:43:17+00:00,2013-12-03 08:00:00+00:00,2014-01-14 21:57:40+00:00,43,97,"#Supporting Family, #Vegan, #Fabrics, #Parent, #Woman Owned Biz","female, female, female, female, female, female, female, female, female, female, female, female, female",bullet,2/1/14
653301,250,250,Farming,Agriculture,"To purchase bean seeds, fertilizers, and pesticides for farming broad beans in her own land.",IN,India,Dhupguri,INR,334,2014-01-02 11:38:48+00:00,2013-12-19 08:00:00+00:00,2014-01-02 20:49:51+00:00,43,7,,female,bullet,2/1/14
653303,200,200,General Store,Retail,To purchase more grocery items to sell,IN,India,Dhupguri,INR,334,2014-01-02 11:45:54+00:00,2013-12-20 08:00:00+00:00,2014-01-03 13:08:50+00:00,43,7,"#First Loan, #Woman Owned Biz",female,bullet,2/1/14
653278,250,250,Timber Sales,Construction,to purchase wood for expanding the existing business of supplying wood.,IN,India,Maynaguri,INR,334,2014-01-02 10:49:19+00:00,2013-12-17 08:00:00+00:00,2014-01-03 19:27:15+00:00,43,7,"#Eco-friendly, #First Loan, #Parent",female,bullet,2/1/14
653273,150,150,Construction,Construction,"to purchase raw materials like wood, bamboo, straw and ropes for making foundations for houses.",IN,India,Dhupguri,INR,334,2014-01-02 10:38:58+00:00,2013-12-20 08:00:00+00:00,2014-01-02 23:39:17+00:00,43,3,"#Eco-friendly, #First Loan, #Parent",female,bullet,2/1/14
653280,175,175,Food Production/Sales,Food,to buy ingredients for expanding the existing business of making 'bori' (a conical ball made of pulses pulp used in India).,IN,India,Maynaguri,INR,334,2014-01-02 10:53:12+00:00,2013-12-12 08:00:00+00:00,2014-01-02 22:35:33+00:00,43,7,user_favorite,female,bullet,2/1/14
653156,2125,2125,Animal Sales,Agriculture,To purchase more goat kids ,IN,India,"Balipatna, Odisha",INR,241,2014-01-02 05:27:48+00:00,2013-12-02 08:00:00+00:00,2014-01-03 11:47:12+00:00,43,51,,"female, female, female, female, female, female, female, female, female, female",bullet,2/1/14
653299,250,250,Farming,Agriculture,To purchase potato seeds and fertilizers for growing potatoes,IN,India,Dhupguri,INR,334,2014-01-02 11:30:11+00:00,2013-12-19 08:00:00+00:00,2014-01-03 02:36:18+00:00,43,9,,female,bullet,2/1/14
653285,250,250,Dairy,Agriculture,To purchase a cow to start a business selling milk and milk products.,IN,India,Dhupguri,INR,334,2014-01-02 11:01:12+00:00,2013-12-25 08:00:00+00:00,2014-01-02 20:31:27+00:00,43,5,,female,bullet,2/1/14
653289,250,250,Dairy,Agriculture,To purchase a cow to start a business of milk supply and dairy products,IN,India,Maynaguri,INR,334,2014-01-02 11:11:15+00:00,2013-12-18 08:00:00+00:00,2014-01-02 19:41:21+00:00,43,10,,female,bullet,2/1/14
653630,250,250,Farming,Agriculture,to purchase potato seeds and fertilizers for cultivation of potatoes.,IN,India,Dhupguri,INR,334,2014-01-03 09:39:34+00:00,2013-12-11 08:00:00+00:00,2014-01-03 18:23:30+00:00,43,10,,female,bullet,3/1/14
653634,250,250,Farming,Agriculture,to purchase potato seeds and fertilizers to cultivate potatoes.,IN,India,Dhupguri,INR,334,2014-01-03 09:45:44+00:00,2013-12-26 08:00:00+00:00,2014-01-04 00:38:51+00:00,43,9,,female,bullet,3/1/14
653646,225,225,Farming,Agriculture,to purchase bean seeds and fertilizers for cultivating beans.,IN,India,Dhupguri,INR,334,2014-01-03 10:09:34+00:00,2013-12-26 08:00:00+00:00,2014-01-04 00:38:51+00:00,43,8,,female,bullet,3/1/14
653635,250,250,Bakery,Food,to purchase necessary ingredients to start a bakery shop.,IN,India,Dhupguri,INR,334,2014-01-03 09:50:14+00:00,2013-12-26 08:00:00+00:00,2014-01-03 17:28:32+00:00,43,10,,female,bullet,3/1/14
653649,250,250,Farming,Agriculture,to purchase potato seeds and fertilizers for growing potatoes.,IN,India,Dhupguri,INR,334,2014-01-03 10:21:00+00:00,2013-12-26 08:00:00+00:00,2014-01-04 00:49:56+00:00,43,9,,female,bullet,3/1/14
653637,250,250,Dairy,Agriculture,to purchase a dairy cow to start a milk supply and dairy products business.,IN,India,Dhupguri,INR,334,2014-01-03 09:53:09+00:00,2013-12-25 08:00:00+00:00,2014-01-03 18:16:16+00:00,43,9,,female,bullet,3/1/14
653640,250,250,Retail,Retail,to start a business of betel nuts (one type of mouth freshener).,IN,India,Dhupguri,INR,334,2014-01-03 09:59:10+00:00,2013-12-26 08:00:00+00:00,2014-01-04 20:54:19+00:00,43,7,,female,bullet,3/1/14
653644,250,250,Dairy,Agriculture,to purchase a dairy cow to start a milk supply and dairy products business.,IN,India,Dhupguri,INR,334,2014-01-03 10:02:30+00:00,2013-12-25 08:00:00+00:00,2014-01-03 23:19:22+00:00,43,10,,female,bullet,3/1/14
653647,250,250,Farming,Agriculture,to purchase potato seeds and fertilizers for starting potato cultivation.,IN,India,Dhupguri,INR,334,2014-01-03 10:15:35+00:00,2013-12-30 08:00:00+00:00,2014-01-04 03:00:26+00:00,43,7,,female,bullet,3/1/14
653828,250,250,Transportation,Transportation,To purchase a cycle van.,IN,India,Dhupguri,INR,334,2014-01-04 10:51:59+00:00,2013-12-28 08:00:00+00:00,2014-01-04 16:27:08+00:00,43,9,,female,bullet,4/1/14
653832,250,250,Dairy,Agriculture,To purchase a dairy cow to start a business of milk supply and dairy products.,IN,India,Dhupguri,INR,334,2014-01-04 11:18:26+00:00,2013-12-30 08:00:00+00:00,2014-01-10 16:38:04+00:00,43,10,,female,bullet,4/1/14
653830,250,250,Farming,Agriculture,To purchase good quality potato seeds and fertilizers for cultivation of potatoes,IN,India,Dhupguri,INR,334,2014-01-04 11:12:59+00:00,2013-12-28 08:00:00+00:00,2014-01-10 15:39:55+00:00,43,10,,female,bullet,4/1/14
653826,250,250,Farming,Agriculture,To purchase potato seeds and fertilizers for potato cultivation.,IN,India,Dhupguri,INR,334,2014-01-04 10:40:05+00:00,2013-12-30 08:00:00+00:00,2014-01-04 19:15:17+00:00,43,7,,female,bullet,4/1/14
653829,200,200,Farming,Agriculture,to purchase potato seeds and fertilizers for farming potatoes.,IN,India,Dhupguri,INR,334,2014-01-04 11:03:27+00:00,2013-12-28 08:00:00+00:00,2014-01-04 18:07:46+00:00,43,7,,female,bullet,4/1/14
653833,250,250,Farming,Agriculture,To purchase potato seeds and fertilizers for cultivation of potatoes.,IN,India,Dhupguri,INR,334,2014-01-04 11:24:57+00:00,2013-12-30 08:00:00+00:00,2014-01-04 16:37:22+00:00,43,10,,female,bullet,4/1/14
654101,250,250,Dairy,Agriculture,To purchase a dairy cow.,IN,India,Dhupguri,INR,334,2014-01-06 09:41:55+00:00,2013-12-30 08:00:00+00:00,2014-01-06 17:37:43+00:00,43,8,,female,bullet,6/1/14
654113,250,250,Dairy,Agriculture,to purchase a dairy cow and start up a milk supply and dairy products business.,IN,India,Dhupguri,INR,334,2014-01-06 10:01:33+00:00,2013-12-30 08:00:00+00:00,2014-01-06 19:06:03+00:00,43,10,user_favorite,female,bullet,6/1/14
654126,250,250,Farming,Agriculture,To purchase good quality potato seeds and fertilizers for farming potatoes in her own farmland.,IN,India,Dhupguri,INR,334,2014-01-06 10:27:19+00:00,2013-12-31 08:00:00+00:00,2014-01-06 21:57:16+00:00,43,10,,female,bullet,6/1/14
654118,250,250,Farming,Agriculture,to purchase good quality potato seeds and fertilizers for cultivating potatoes.,IN,India,Dhupguri,INR,334,2014-01-06 10:10:25+00:00,2013-12-30 08:00:00+00:00,2014-01-06 20:19:47+00:00,43,7,user_favorite,female,bullet,6/1/14
654177,2100,2100,Weaving,Arts,To purchase more yarn and threads,IN,India,Imphal East,INR,238,2014-01-06 11:40:54+00:00,2013-12-18 08:00:00+00:00,2014-01-13 20:07:40+00:00,43,70,"#Fabrics, #Woman Owned Biz","female, female, female, female, female, female, female, female, female, female",bullet,6/1/14
654108,250,250,Construction Supplies,Construction,To purchase ply for the plywood business.,IN,India,Dhupguri,INR,334,2014-01-06 09:56:53+00:00,2013-12-30 08:00:00+00:00,2014-01-07 05:47:56+00:00,43,10,user_favorite,female,bullet,6/1/14
654125,200,200,Farming,Agriculture,"To purchase potato seeds, fertilizers, urea, etc. for potato cultivation.",IN,India,Dhupguri,INR,334,2014-01-06 10:23:33+00:00,2013-12-31 08:00:00+00:00,2014-01-06 23:16:12+00:00,43,5,,female,bullet,6/1/14
654121,250,250,Livestock,Agriculture,to purchase a cow for her animal husbandry business.,IN,India,Dhupguri,INR,334,2014-01-06 10:16:44+00:00,2013-12-31 08:00:00+00:00,2014-01-07 03:58:37+00:00,43,10,user_favorite,female,bullet,6/1/14
654685,250,250,Cereals,Food,To buy more paddy (unmilled rice) to sell,IN,India,Maynaguri,INR,334,2014-01-07 10:37:22+00:00,2013-12-25 08:00:00+00:00,2014-01-09 16:01:50+00:00,43,7,,female,bullet,7/1/14
654677,250,250,Farming,Agriculture,"To purchase potato seeds, fertilizers, urea and other supplies",IN,India,Dhupguri,INR,334,2014-01-07 10:18:09+00:00,2013-12-12 08:00:00+00:00,2014-01-08 07:12:56+00:00,43,3,,female,bullet,7/1/14
654682,250,250,Dairy,Agriculture,To purchase a dairy cow to sell milk and dairy products ,IN,India,Maynaguri,INR,334,2014-01-07 10:32:10+00:00,2013-12-27 08:00:00+00:00,2014-01-08 03:54:33+00:00,43,5,,female,bullet,7/1/14
654665,225,225,Food Stall,Food,To purchase food items to expand her fast food stall,IN,India,Dhupguri,INR,334,2014-01-07 10:00:10+00:00,2013-12-21 08:00:00+00:00,2014-01-08 22:30:05+00:00,43,9,"#Interesting Photo, #Fabrics",female,bullet,7/1/14
654666,200,200,Fruits & Vegetables,Food,To purchase different kinds of seasonal fruits to sell,IN,India,Dhupguri,INR,334,2014-01-07 10:02:33+00:00,2013-12-28 08:00:00+00:00,2014-01-08 14:19:30+00:00,43,2,,female,bullet,7/1/14
654672,250,250,Farming,Agriculture,To purchase potato seeds and fertilizers ,IN,India,Dhupguri,INR,334,2014-01-07 10:12:16+00:00,2013-12-31 08:00:00+00:00,2014-01-09 05:34:38+00:00,43,10,,female,bullet,7/1/14
654680,200,200,Farming,Agriculture,To buy good quality potato seeds and fertilizers ,IN,India,Dhupguri,INR,334,2014-01-07 10:29:13+00:00,2013-12-31 08:00:00+00:00,2014-01-08 23:33:58+00:00,43,8,,female,bullet,7/1/14
654758,1775,1775,Weaving,Arts,"To purchase different types of yarn, thread and silk for weaving to make more money to support the kids' education. ",IN,India,Imphal East,INR,238,2014-01-07 14:07:36+00:00,2014-01-18 08:00:00+00:00,2014-01-08 22:29:06+00:00,43,55,"user_favorite, user_favorite","female, female, female, female, female, female, female, female, female, female, female",bullet,7/1/14
655186,250,250,Farming,Agriculture,To buy tea seedlings and fertilizers to cultivate tea in her own land.,IN,India,Maynaguri,INR,334,2014-01-08 10:43:09+00:00,2013-12-28 08:00:00+00:00,2014-01-08 23:09:02+00:00,43,10,,female,bullet,8/1/14
655218,250,250,Primary/secondary school costs,Education,To cover all the education expenses of her daughter ,IN,India,Dhupguri,INR,334,2014-01-08 11:57:47+00:00,2014-01-06 08:00:00+00:00,2014-01-09 03:05:41+00:00,43,8,"volunteer_like, user_favorite",female,bullet,8/1/14
655077,3475,3475,Pharmacy,Health,"To purchase more drugs for the pharmacy, generating more income and supporting the family.",IN,India,Saikul,INR,238,2014-01-08 08:31:05+00:00,2013-12-20 08:00:00+00:00,2014-01-12 23:46:15+00:00,43,122,"user_favorite, user_favorite, user_favorite, user_favorite, #Biz Durable Asset, #Parent, #Woman Owned Biz","female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female",bullet,8/1/14
655173,200,200,Timber Sales,Construction,To purchase various types of wood,IN,India,Maynaguri,INR,334,2014-01-08 10:23:00+00:00,2013-12-27 08:00:00+00:00,2014-01-09 07:13:32+00:00,43,8,,female,bullet,8/1/14
655205,250,250,Primary/secondary school costs,Education,To pay tuition fees and other expenses ,IN,India,Dhupguri,INR,334,2014-01-08 11:38:03+00:00,2014-01-06 08:00:00+00:00,2014-01-09 22:40:13+00:00,43,10,,female,bullet,8/1/14
655212,250,250,Higher education costs,Education,To pay all the fees related to her daughter’s education.,IN,India,Dhupguri,INR,334,2014-01-08 11:47:03+00:00,2014-01-06 08:00:00+00:00,2014-01-09 22:58:09+00:00,43,9,,female,bullet,8/1/14
655169,175,175,Blacksmith,Manufacturing,To purchase irons and other blacksmith materials,IN,India,Maynaguri,INR,334,2014-01-08 10:18:57+00:00,2013-12-27 08:00:00+00:00,2014-01-08 21:49:39+00:00,43,6,user_favorite,female,bullet,8/1/14
655190,1950,1950,Weaving,Arts,"To purchase threads, yarns, other tools for weaving ",IN,India,Saikul,INR,238,2014-01-08 11:01:23+00:00,2013-12-20 08:00:00+00:00,2014-01-10 06:45:03+00:00,43,69,"user_favorite, #Widowed, #Single Parent, user_favorite","female, female, female, female, female, female, female, female",bullet,8/1/14
655216,250,250,Primary/secondary school costs,Education,To pay tuition and other educational expenses for.her son,IN,India,Dhupguri,INR,334,2014-01-08 11:52:28+00:00,2014-01-06 08:00:00+00:00,2014-01-09 04:51:04+00:00,43,8,,female,bullet,8/1/14
655183,250,250,Dairy,Agriculture,To purchase a dairy cow so as to sell milk and dairy products.,IN,India,Maynaguri,INR,334,2014-01-08 10:39:59+00:00,2013-12-25 08:00:00+00:00,2014-01-09 01:40:28+00:00,43,7,user_favorite,female,bullet,8/1/14
655195,250,250,Primary/secondary school costs,Education,To pay the tuition fees and other educational expenses for her son,IN,India,Dhupguri,INR,334,2014-01-08 11:24:44+00:00,2014-01-06 08:00:00+00:00,2014-01-10 02:44:52+00:00,43,10,,female,bullet,8/1/14
655181,150,150,Farming,Agriculture,To purchase potato seeds and fertilizers for cultivation of potatoes in her own land.,IN,India,Maynaguri,INR,334,2014-01-08 10:36:32+00:00,2013-12-24 08:00:00+00:00,2014-01-09 01:59:59+00:00,43,4,user_favorite,female,bullet,8/1/14
655708,225,225,Transportation,Transportation,To purchase a cycle van to start her own business.,IN,India,Maynaguri,INR,334,2014-01-09 11:52:47+00:00,2013-12-28 08:00:00+00:00,2014-01-10 15:08:22+00:00,43,9,,female,bullet,9/1/14
655754,1450,1450,General Store,Retail,"To purchase supplies for her variety shop which will also include first aid kits, so as to earn more income to support the family and kids' education.",IN,India,Saikul,INR,238,2014-01-09 12:53:15+00:00,2013-12-20 08:00:00+00:00,2014-01-17 15:16:27+00:00,43,33,#Woman Owned Biz,"female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female",bullet,9/1/14
655742,225,225,Manufacturing,Manufacturing,To buy more animal  skins to start her new leather business,IN,India,Maynaguri,INR,334,2014-01-09 12:26:00+00:00,2013-12-26 08:00:00+00:00,2014-01-11 17:22:44+00:00,43,9,,female,bullet,9/1/14
655723,100,100,Dairy,Agriculture,To purchase a cow to sell milk in the market.,IN,India,Maynaguri,INR,334,2014-01-09 12:05:43+00:00,2013-12-26 08:00:00+00:00,2014-01-10 07:34:26+00:00,43,4,,female,bullet,9/1/14
655733,250,250,Farming,Agriculture,To purchase seeds and fertilizers for cultivating paddy (rice).,IN,India,Maynaguri,INR,334,2014-01-09 12:15:02+00:00,2013-12-27 08:00:00+00:00,2014-01-11 08:20:46+00:00,43,7,,female,bullet,9/1/14
