date,browser,visits
2019-10-27,Chrome,13266742
2019-10-27,Safari,8902929
2019-10-27,Edge,1134186
2019-10-27,Firefox,1055585
2019-10-27,Internet Explorer,760504
2019-10-27,Samsung Internet,693437
2019-10-27,Safari (in-app),336685
2019-10-27,Android Webview,334835
2019-10-27,Opera,96729
2019-10-27,Amazon Silk,74191
2019-10-27,Opera Mini,60943
2019-10-27,UC Browser,34993
2019-10-27,YaBrowser,21394
2019-10-27,Mercari_d,8804
2019-10-27,Mozilla Compatible Agent,7370
2019-10-27,Android Browser,7329
2019-10-27,Coc Coc,5305
2019-10-27,Puffin,2017
2019-10-27,ThousandEyes,2015
2019-10-27,Mozilla,1223
2019-10-27,Playstation 4,1209
2019-10-27,BlackBerry,1184
2019-10-27,Amazon.com,1101
2019-10-27,SeaMonkey,1071
2019-10-27,Maxthon,1005
2019-10-27,Papers,634
2019-10-27,Carousel,595
2019-10-27,IRS - TRG19-01Loeim,576
2019-10-27,United States Postal Service - TRG19-01Loeim,576
2019-10-27,candroid,411
2019-10-27,Lore Document Collector 1bb1dbb613d0db2041e35f52fea672c7,402
2019-10-27,[FBAN,373
2019-10-27,MagentaNews,337
2019-10-27,StatusCake_Pagespeed_Indev,278
2019-10-27,MRCHROME,264
2019-10-27,Netscape,208
2019-10-27,Nintendo Browser,176
2019-10-27,osee2unifiedRelease,145
2019-10-27,fuelbot,130
2019-10-27,"""Mozilla",128
2019-10-27,Iron,116
2019-10-27,Playstation 3,98
2019-10-27,UCWEB,98
2019-10-27,LeapPadUltimate,87
2019-10-27,BestBuy,86
2019-10-27,Google-Test2,76
2019-10-27,LeapPad3Explorer,62
2019-10-27,DoximityWebView,61
2019-10-27,Nokia Browser,50
2019-10-27,Uzbl,49
2019-10-27,iPhone,49
2019-10-27,AdobeAIR,47
2019-10-27,NetFront,47
2019-10-27,Playstation Vita Browser,44
2019-10-27,Seznam,42
2019-10-27,LeapPadPlatinum,35
2019-10-27,Emb,29
2019-10-27,Bluebeam Revu Browser - cef version: 57.0.0.0,26
2019-10-27,pa11y,24
2019-10-27,(not set),23
2019-10-27,+Simple Browser,22
2019-10-27,com.airfind.deltabrowser,22
2019-10-27,DDG-Android-3.1.0,19
2019-10-27,Airbnb,18
2019-10-27,Mobile IOS 9.0.1.1; Mozilla,17
2019-10-27,Sephora 19.8,17
2019-10-27,Lunascape,16
2019-10-27,bitdiscovery,16
2019-10-27,Nintendo 3DS Browser,15
2019-10-27,C:,14
2019-10-27,IE with Chrome Frame,14
2019-10-27,Outlook-iOS,14
2019-10-27,ZhihuHybrid DefaultBrowser osee2unifiedRelease,14
2019-10-27,Windows NT 6.1,11
2019-10-28,Chrome,24655158
2019-10-28,Safari,13189868
2019-10-28,Internet Explorer,3735937
2019-10-28,Edge,2184534
2019-10-28,Firefox,2065802
2019-10-28,Samsung Internet,1051937
2019-10-28,Safari (in-app),426268
2019-10-28,Android Webview,399931
2019-10-28,Opera,131311
2019-10-28,Amazon Silk,87206
2019-10-28,Opera Mini,69883
2019-10-28,UC Browser,41532
2019-10-28,Mercari_d,29855
2019-10-28,YaBrowser,24488
2019-10-28,Mozilla Compatible Agent,10644
2019-10-28,Android Browser,8948
2019-10-28,Coc Coc,6197
2019-10-28,Puffin,2501
2019-10-28,ThousandEyes,2014
2019-10-28,Mozilla,1945
2019-10-28,SeaMonkey,1690
2019-10-28,Amazon.com,1533
2019-10-28,BlackBerry,1448
2019-10-28,Playstation 4,1239
2019-10-28,Maxthon,1184
2019-10-28,Lore Document Collector 1bb1dbb613d0db2041e35f52fea672c7,1148
2019-10-28,Papers,994
2019-10-28,candroid,688
2019-10-28,Carousel,605
2019-10-28,IRS - TRG19-01Loeim,576
2019-10-28,United States Postal Service - TRG19-01Loeim,575
2019-10-28,[FBAN,435
2019-10-28,MagentaNews,428
2019-10-28,Iron,341
2019-10-28,MRCHROME,309
2019-10-28,pa11y,295
2019-10-28,StatusCake_Pagespeed_Indev,278
2019-10-28,BestBuy,230
2019-10-28,Bluebeam Revu Browser - cef version: 57.0.0.0,208
2019-10-28,Netscape,207
2019-10-28,"""Mozilla",166
2019-10-28,Nintendo Browser,141
2019-10-28,osee2unifiedRelease,138
2019-10-28,UCWEB,120
2019-10-28,fuelbot,106
2019-10-28,Playstation 3,97
2019-10-28,(not set),93
2019-10-28,Sephora 19.8,73
2019-10-28,Playstation Vita Browser,67
2019-10-28,AdobeAIR,63
2019-10-28,Emb,62
2019-10-28,Seznam,61
2019-10-28,snapchat.com,61
2019-10-28,Nokia Browser,54
2019-10-28,LeapPadUltimate,51
2019-10-28,Uzbl,46
