date,os,visits
2019-10-27,(not set),19746
2019-10-27,Android,6567940
2019-10-27,BlackBerry,3317
2019-10-27,Chrome OS,283580
2019-10-27,Firefox OS,128
2019-10-27,FreeBSD,155
2019-10-27,Google TV,36
2019-10-27,Linux,344063
2019-10-27,Macintosh,3282980
2019-10-27,NetBSD,17
2019-10-27,Nintendo 3DS,73
2019-10-27,Nintendo WiiU,113
2019-10-27,OS/2,525
2019-10-27,OpenBSD,52
2019-10-27,Playstation 3,98
2019-10-27,Playstation 4,1209
2019-10-27,Playstation Vita,44
2019-10-27,Samsung,568
2019-10-27,SunOS,14
2019-10-27,SymbianOS,12
2019-10-27,Tizen,2463
2019-10-27,UNIX,17
2019-10-27,Windows,8307329
2019-10-27,Windows Phone,4313
2019-10-27,Xbox,919
2019-10-27,iOS,8001527
2019-10-28,(not set),21549
2019-10-28,Android,9068836
2019-10-28,BlackBerry,4179
2019-10-28,Chrome OS,823486
2019-10-28,Firefox OS,138
2019-10-28,FreeBSD,199
2019-10-28,Google TV,36
2019-10-28,Linux,428434
2019-10-28,Macintosh,5091510
2019-10-28,NetBSD,39
2019-10-28,Nintendo 3DS,61
2019-10-28,Nintendo WiiU,88
2019-10-28,Nokia,15
2019-10-28,OS/2,643
2019-10-28,OpenBSD,31
2019-10-28,Playstation 3,97
2019-10-28,Playstation 4,1239
2019-10-28,Playstation Vita,67
2019-10-28,Samsung,693
2019-10-28,SunOS,18
2019-10-28,Tizen,2535
2019-10-28,UNIX,22
2019-10-28,Windows,20861033
2019-10-28,Windows Phone,4944
2019-10-28,Xbox,1115
2019-10-28,iOS,11832950
2019-10-29,(not set),22326
2019-10-29,Android,9103444
2019-10-29,BlackBerry,4297
2019-10-29,Chrome OS,869500
2019-10-29,Firefox OS,174
2019-10-29,FreeBSD,192
2019-10-29,Google TV,36
2019-10-29,Linux,433742
2019-10-29,Macintosh,4982877
2019-10-29,NetBSD,34
2019-10-29,Nintendo 3DS,56
2019-10-29,Nintendo WiiU,84
2019-10-29,Nokia,24
2019-10-29,OS/2,598
2019-10-29,OpenBSD,244
2019-10-29,Playstation 3,91
2019-10-29,Playstation 4,1244
2019-10-29,Playstation Vita,67
2019-10-29,Samsung,659
2019-10-29,SunOS,20
2019-10-29,Tizen,2609
2019-10-29,UNIX,26
2019-10-29,Windows,20888791
2019-10-29,Windows Phone,5166
2019-10-29,Xbox,1095
2019-10-29,iOS,11833248
2019-10-30,(not set),20948
2019-10-30,Android,8979937
2019-10-30,BlackBerry,4502
2019-10-30,Chrome OS,851971
2019-10-30,Firefox OS,144
2019-10-30,FreeBSD,206
2019-10-30,Google TV,39
