Season,Stage,Game,Date,Age,Age Precise,Team,Home/Away,Opponent,Outcome Win/Lose,Outcome Points Difference,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,GameScore,Plus/Minus
2019-20,Regular,1,22/10/19,34,34.81,LAL,Away,LAC,Lose,-10,36,7,19,0.368,1,5,0.2,3,4,0.75,1,9,10,8,1,1,5,3,18,11.6,-8
2019-20,Regular,2,25/10/19,34,34.82,LAL,Home,UTA,Win,9,30.6,12,22,0.545,1,4,0.25,7,8,0.875,2,5,7,10,1,0,1,0,32,30.9,17
2019-20,Regular,3,27/10/19,34,34.82,LAL,Home,CHO,Win,19,35,7,14,0.5,1,3,0.333,5,5,1,1,5,6,12,1,0,4,0,20,20.6,17
2019-20,Regular,4,29/10/19,34,34.83,LAL,Home,MEM,Win,29,28.3,8,15,0.533,2,5,0.4,5,7,0.714,0,2,2,8,0,1,6,0,23,15.8,2
2019-20,Regular,5,1/11/19,34,34.84,LAL,Away,DAL,Win,9,42.5,13,23,0.565,4,9,0.444,9,11,0.818,0,12,12,16,4,1,4,5,39,40.8,15
2019-20,Regular,6,3/11/19,34,34.84,LAL,Away,SAS,Win,7,37.3,8,23,0.348,0,6,0,5,10,0.5,1,10,11,13,2,1,5,2,21,15.8,15
2019-20,Regular,7,5/11/19,34,34.85,LAL,Away,CHI,Win,6,35.2,10,19,0.526,2,6,0.333,8,9,0.889,0,10,10,11,2,1,2,3,30,30.5,17
2019-20,Regular,8,8/11/19,34,34.86,LAL,Home,MIA,Win,15,36.1,10,19,0.526,4,7,0.571,1,2,0.5,1,3,4,6,0,0,3,2,25,17.3,16
2019-20,Regular,9,10/11/19,34,34.86,LAL,Home,TOR,Lose,-9,35.3,5,15,0.333,0,2,0,3,6,0.5,3,10,13,15,0,1,2,0,13,17.6,-6
2019-20,Regular,10,12/11/19,34,34.87,LAL,Away,PHO,Win,8,37.1,8,18,0.444,1,4,0.25,2,7,0.286,0,7,7,11,0,0,1,0,19,16.4,-2
2019-20,Regular,11,13/11/19,34,34.87,LAL,Home,GSW,Win,26,26.5,11,21,0.524,1,5,0.2,0,1,0,2,4,6,12,1,1,4,1,23,20.6,13
2019-20,Regular,12,15/11/19,34,34.88,LAL,Home,SAC,Win,2,38.7,10,20,0.5,2,7,0.286,7,7,1,3,1,4,11,3,0,2,1,29,29.7,13
2019-20,Regular,13,17/11/19,34,34.88,LAL,Home,ATL,Win,21,33.1,13,21,0.619,6,10,0.6,1,1,1,0,7,7,12,1,1,0,1,33,35.3,30
2019-20,Regular,14,19/11/19,34,34.89,LAL,Home,OKC,Win,5,37.1,10,21,0.476,2,5,0.4,3,5,0.6,0,11,11,10,2,0,7,2,25,18,6
2019-20,Regular,15,22/11/19,34,34.9,LAL,Away,OKC,Win,3,35.6,9,20,0.45,1,3,0.333,4,6,0.667,1,5,6,14,1,1,5,2,23,19.7,3
2019-20,Regular,16,23/11/19,34,34.9,LAL,Away,MEM,Win,1,38.8,14,27,0.519,2,9,0.222,0,0,,1,5,6,4,2,0,5,1,30,18.3,7
2019-20,Regular,17,25/11/19,34,34.9,LAL,Away,SAS,Win,10,35.1,13,24,0.542,4,7,0.571,3,8,0.375,1,3,4,14,0,1,3,2,33,27.7,6
2019-20,Regular,18,27/11/19,34,34.91,LAL,Away,NOP,Win,4,37.6,10,18,0.556,2,6,0.333,7,11,0.636,2,3,5,11,2,1,5,2,29,25.7,3
2019-20,Regular,19,29/11/19,34,34.92,LAL,Home,WAS,Win,22,24.6,9,16,0.563,4,8,0.5,1,2,0.5,0,3,3,11,2,1,6,1,23,19.9,20
2019-20,Regular,20,1/12/19,34,34.92,LAL,Home,DAL,Lose,-14,36.4,11,20,0.55,0,5,0,3,3,1,0,9,9,8,4,0,6,3,25,20.5,-16
2019-20,Regular,21,3/12/19,34,34.93,LAL,Away,DEN,Win,9,36.9,9,18,0.5,1,4,0.25,6,6,1,2,4,6,9,0,0,4,3,25,19.7,4
2019-20,Regular,22,4/12/19,34,34.93,LAL,Away,UTA,Win,25,29.5,9,21,0.429,1,6,0.167,1,1,1,0,4,4,12,1,0,1,3,20,17.3,14
2019-20,Regular,23,6/12/19,34,34.93,LAL,Away,POR,Win,23,33.8,11,23,0.478,4,9,0.444,5,7,0.714,1,6,7,8,0,1,3,1,31,23.9,21
2019-20,Regular,24,8/12/19,34,34.94,LAL,Home,MIN,Win,17,27.9,12,20,0.6,6,8,0.75,2,2,1,1,3,4,13,1,0,5,4,32,27.9,24
2019-20,Regular,25,11/12/19,34,34.95,LAL,Away,ORL,Win,9,37.9,11,24,0.458,1,6,0.167,2,5,0.4,2,9,11,10,2,0,6,2,25,17.7,8
2019-20,Regular,26,13/12/19,34,34.95,LAL,Away,MIA,Win,3,37.4,11,22,0.5,4,8,0.5,2,4,0.5,2,7,9,12,1,0,8,2,28,20.3,9
2019-20,Regular,27,15/12/19,34,34.96,LAL,Away,ATL,Win,5,36.9,12,21,0.571,4,10,0.4,4,7,0.571,1,12,13,7,1,3,4,1,32,28.8,10
2019-20,Regular,28,17/12/19,34,34.96,LAL,Away,IND,Lose,-3,34.9,8,20,0.4,0,6,0,4,8,0.5,1,8,9,9,0,0,5,2,20,11.2,-9
2019-20,Regular,29,19/12/19,34,34.97,LAL,Away,MIL,Lose,-7,36.7,8,19,0.421,3,7,0.429,2,2,1,0,12,12,11,0,0,4,5,21,16.2,-14
2019-20,Regular,Inactive,22/12/19,34,34.98,LAL,Home,DEN,Lose,-24,,,,,,,,,,,,,,,,,,,,,
2019-20,Regular,30,25/12/19,34,34.99,LAL,Home,LAC,Lose,-5,38.8,9,24,0.375,2,12,0.167,3,4,0.75,3,6,9,10,2,1,2,3,23,19.8,3
2018-19,Regular,1,18/10/18,33,33.8,LAL,Away,POR,Lose,-9,37.3,9,16,0.563,0,4,0,8,9,0.889,2,10,12,6,1,0,6,3,26,20.4,-4
2018-19,Regular,2,20/10/18,33,33.81,LAL,Home,HOU,Lose,-9,38.9,9,22,0.409,1,7,0.143,5,7,0.714,0,5,5,5,2,1,1,0,24,18.1,-13
2018-19,Regular,3,22/10/18,33,33.81,LAL,Home,SAS,Lose,-1,42.9,11,25,0.44,2,8,0.25,8,11,0.727,2,6,8,14,1,1,5,2,32,26.6,-5
2018-19,Regular,4,24/10/18,33,33.82,LAL,Away,PHO,Win,18,28.1,7,16,0.438,1,5,0.2,4,4,1,0,7,7,10,3,0,0,1,19,22.3,19
2018-19,Regular,5,25/10/18,33,33.82,LAL,Home,DEN,Win,7,34.7,10,17,0.588,1,5,0.2,7,10,0.7,0,11,11,11,3,0,2,3,28,29.7,13
2018-19,Regular,6,27/10/18,33,33.82,LAL,Away,SAS,Lose,-4,34.3,13,21,0.619,2,6,0.333,7,8,0.875,1,10,11,4,2,0,4,3,35,28.4,-1
2018-19,Regular,7,29/10/18,33,33.83,LAL,Away,MIN,Lose,-4,36.3,11,23,0.478,3,6,0.5,4,5,0.8,3,7,10,8,2,2,5,2,29,24.3,-6
2018-19,Regular,8,31/10/18,33,33.84,LAL,Home,DAL,Win,1,38.6,11,19,0.579,2,3,0.667,5,7,0.714,0,5,5,6,3,0,3,3,29,23.8,5
2018-19,Regular,9,3/11/18,33,33.84,LAL,Away,POR,Win,4,31.4,9,20,0.45,1,5,0.2,9,11,0.818,0,5,5,7,0,2,3,1,28,21.2,-22
2018-19,Regular,10,4/11/18,33,33.85,LAL,Home,TOR,Lose,-14,28.3,6,12,0.5,2,3,0.667,4,7,0.571,0,2,2,6,0,1,3,3,18,12.1,-16
2018-19,Regular,11,7/11/18,33,33.85,LAL,Home,MIN,Win,4,38.5,10,21,0.476,3,9,0.333,1,2,0.5,1,10,11,9,0,2,3,1,24,20.9,3
2018-19,Regular,12,10/11/18,33,33.86,LAL,Away,SAC,Win,15,31.3,10,18,0.556,3,6,0.5,2,3,0.667,1,6,7,2,1,0,3,2,25,17.1,2
2018-19,Regular,13,11/11/18,33,33.87,LAL,Home,ATL,Win,1,34.3,10,20,0.5,3,9,0.333,3,7,0.429,3,4,7,4,2,0,4,1,26,18.1,22
2018-19,Regular,14,14/11/18,33,33.87,LAL,Home,POR,Win,9,36,13,19,0.684,5,6,0.833,13,15,0.867,2,8,10,9,1,3,4,0,44,44.3,4
