Season,Stage,Game,Date,Age,Age Precise,Team,Home/Away,Opponent,Outcome Win/Lose,Outcome Points Difference,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,GameScore,Plus/Minus
1984-85,Regular,1,26/10/84,21,21.69,CHI,Home,WSB,Win,16,40.00,5,16,0.313,0,0,,6,7,0.857,1,5,6,7,2,4,5,2,16,12.5,
1984-85,Regular,2,27/10/84,21,21.69,CHI,Away,MIL,Lose,-2,34.00,8,13,0.615,0,0,,5,5,1,3,2,5,5,2,1,3,4,21,19.4,
1984-85,Regular,3,29/10/84,21,21.7,CHI,Home,MIL,Win,6,34.00,13,24,0.542,0,0,,11,13,0.846,2,2,4,5,6,2,3,4,37,32.9,
1984-85,Regular,4,30/10/84,21,21.7,CHI,Away,KCK,Win,5,36.00,8,21,0.381,0,0,,9,9,1,2,2,4,5,3,1,6,5,25,14.7,
1984-85,Regular,5,1/11/84,21,21.71,CHI,Away,DEN,Lose,-16,33.00,7,15,0.467,0,0,,3,4,0.75,3,2,5,5,1,1,2,4,17,13.2,
1984-85,Regular,6,7/11/84,21,21.72,CHI,Away,DET,Win,4,27.00,9,19,0.474,0,0,,7,9,0.778,1,3,4,3,3,1,5,5,25,14.9,
1984-85,Regular,7,8/11/84,21,21.73,CHI,Away,NYK,Win,15,33.00,15,22,0.682,0,0,,3,4,0.75,4,4,8,5,3,2,5,2,33,29.3,
1984-85,Regular,8,10/11/84,21,21.73,CHI,Away,IND,Win,2,42.00,9,22,0.409,0,0,,9,12,0.75,2,7,9,4,2,5,3,4,27,21.2,
1984-85,Regular,9,13/11/84,21,21.74,CHI,Home,SAS,Win,3,43.00,18,27,0.667,1,1,1,8,11,0.727,2,8,10,4,3,2,4,4,45,37.5,
1984-85,Regular,10,15/11/84,21,21.75,CHI,Home,BOS,Lose,-20,33.00,12,24,0.5,0,1,0,3,3,1,0,2,2,2,2,1,1,4,27,17.1,
1984-85,Regular,11,17/11/84,21,21.75,CHI,Home,PHI,Lose,-9,44.00,4,17,0.235,0,0,,8,8,1,0,5,5,7,5,2,4,5,16,12.5,
1984-85,Regular,12,19/11/84,21,21.76,CHI,Home,IND,Lose,-17,39.00,11,26,0.423,0,3,0,12,16,0.75,2,3,5,2,2,1,3,3,34,20.8,
1984-85,Regular,13,21/11/84,21,21.76,CHI,Away,MIL,Lose,-10,42.00,11,22,0.5,0,0,,13,14,0.929,4,9,13,2,2,2,6,3,35,26.7,
1984-85,Regular,14,23/11/84,21,21.77,CHI,Away,SEA,Win,19,30.00,9,13,0.692,0,0,,5,6,0.833,0,4,4,3,4,1,4,4,23,19.5,
1984-85,Regular,15,24/11/84,21,21.77,CHI,Away,POR,Lose,-10,41.00,10,24,0.417,0,1,0,10,10,1,3,3,6,8,3,1,4,4,30,23.9,
1984-85,Regular,16,27/11/84,21,21.78,CHI,Away,GSW,Lose,-6,24.00,6,10,0.6,0,0,,1,1,1,0,2,2,3,3,2,4,1,13,11.1,
1984-85,Regular,17,29/11/84,21,21.78,CHI,Away,PHO,Lose,-5,30.00,9,17,0.529,1,1,1,3,4,0.75,1,2,3,2,2,0,2,5,22,14,
1984-85,Regular,18,30/11/84,21,21.79,CHI,Away,LAC,Win,4,37.00,9,15,0.6,0,0,,2,4,0.5,2,3,5,5,3,0,4,4,20,15.5,
1984-85,Regular,19,2/12/84,21,21.79,CHI,Away,LAL,Win,1,42.00,7,13,0.538,0,0,,6,8,0.75,2,0,2,3,1,1,4,3,20,12.9,
1984-85,Regular,20,4/12/84,21,21.8,CHI,Home,NJN,Win,15,35.00,7,13,0.538,0,0,,6,6,1,1,2,3,6,1,0,3,3,20,16,
1984-85,Regular,21,7/12/84,21,21.81,CHI,Home,NYK,Win,2,43.00,8,16,0.5,0,1,0,5,7,0.714,1,1,2,3,2,0,6,5,21,9.3,
1984-85,Regular,22,8/12/84,21,21.81,CHI,Home,DAL,Win,2,35.00,10,23,0.435,0,0,,0,0,,4,3,7,2,0,2,2,3,20,11.2,
1984-85,Regular,23,11/12/84,21,21.82,CHI,Home,DET,Lose,-7,37.00,13,28,0.464,0,1,0,1,3,0.333,1,7,8,6,2,0,3,4,27,16.2,
1984-85,Regular,24,12/12/84,21,21.82,CHI,Away,DET,Lose,-7,30.00,6,17,0.353,0,2,0,9,10,0.9,0,1,1,2,2,1,1,5,21,12.5,
1984-85,Regular,25,14/12/84,21,21.82,CHI,Away,NJN,Lose,-2,44.00,12,25,0.48,0,0,,10,10,1,2,6,8,8,1,0,0,4,34,29.5,
1984-85,Regular,26,15/12/84,21,21.83,CHI,Home,PHI,Lose,-12,27.00,7,16,0.438,0,0,,0,0,,1,1,2,2,1,0,1,2,14,7.2,
1984-85,Regular,27,18/12/84,21,21.84,CHI,Home,HOU,Lose,-8,45.00,8,20,0.4,0,1,0,2,4,0.5,1,2,3,8,3,0,1,2,18,14.5,
1984-85,Regular,28,20/12/84,21,21.84,CHI,Away,ATL,Win,3,41.00,12,22,0.545,0,0,,10,16,0.625,4,4,8,7,5,1,7,5,34,26.6,
1984-85,Regular,29,22/12/84,21,21.85,CHI,Home,BOS,Win,25,35.00,12,18,0.667,0,0,,8,8,1,1,11,12,8,0,3,3,3,32,31.7,
1984-85,Regular,30,27/12/84,21,21.86,CHI,Home,CLE,Win,4,44.00,20,33,0.606,0,1,0,5,5,1,2,5,7,11,3,0,3,1,45,40.1,
1984-85,Regular,31,29/12/84,21,21.87,CHI,Home,ATL,Lose,-3,39.00,7,18,0.389,0,0,,7,9,0.778,1,3,4,5,0,0,3,6,21,10.1,
1984-85,Regular,32,2/1/85,21,21.88,CHI,Away,ATL,Lose,-14,34.00,10,14,0.714,0,0,,5,6,0.833,1,6,7,4,3,0,4,2,25,22.3,
1984-85,Regular,33,4/1/85,21,21.88,CHI,Home,MIL,Win,5,38.00,9,16,0.563,0,1,0,4,5,0.8,0,2,2,6,3,0,0,4,22,20.2,
1984-85,Regular,34,5/1/85,21,21.88,CHI,Away,NYK,Lose,-6,42.00,16,25,0.64,0,0,,10,11,0.909,4,3,7,4,2,1,3,3,42,35.5,
1984-85,Regular,35,9/1/85,21,21.9,CHI,Away,BOS,Lose,-3,42.00,12,24,0.5,0,0,,12,13,0.923,4,2,6,6,2,1,4,4,36,28.3,
1984-85,Regular,36,11/1/85,21,21.9,CHI,Home,NYK,Win,16,30.00,8,14,0.571,0,0,,7,7,1,2,4,6,5,2,0,5,3,23,18.3,
1984-85,Regular,37,12/1/85,21,21.9,CHI,Away,CLE,Lose,-3,36.00,10,21,0.476,0,1,0,4,6,0.667,4,8,12,3,1,0,3,5,24,15.8,
1984-85,Regular,38,14/1/85,21,21.91,CHI,Home,DEN,Win,9,43.00,11,16,0.688,0,0,,13,15,0.867,2,12,14,15,3,1,6,3,35,39.4,
1984-85,Regular,39,16/1/85,21,21.92,CHI,Away,NJN,Lose,-6,44.00,8,17,0.471,0,1,0,11,12,0.917,1,6,7,7,2,0,6,3,27,20.1,
1984-85,Regular,40,17/1/85,21,21.92,CHI,Home,CLE,Win,5,40.00,8,20,0.4,0,0,,9,12,0.75,0,4,4,6,2,2,3,4,25,17.2,
1984-85,Regular,41,19/1/85,21,21.92,CHI,Away,IND,Lose,-3,41.00,15,27,0.556,2,4,0.5,6,8,0.75,2,10,12,7,3,2,2,5,38,34,
1984-85,Regular,42,22/1/85,21,21.93,CHI,Home,POR,Win,8,39.00,11,20,0.55,0,1,0,7,7,1,1,11,12,5,2,0,4,4,29,23.3,
1984-85,Regular,43,25/1/85,21,21.94,CHI,Home,SEA,Win,17,37.00,6,15,0.4,0,1,0,10,10,1,2,2,4,8,4,2,1,3,22,24.7,
1984-85,Regular,44,26/1/85,21,21.94,CHI,Home,ATL,Win,13,43.00,17,24,0.708,0,0,,11,11,1,1,7,8,10,0,4,5,3,45,41.4,
1984-85,Regular,45,29/1/85,21,21.95,CHI,Home,KCK,Win,6,38.00,11,17,0.647,0,0,,4,6,0.667,0,7,7,7,3,0,1,3,26,25.5,
1984-85,Regular,46,30/1/85,21,21.95,CHI,Away,WSB,Lose,-11,41.00,12,19,0.632,0,0,,14,15,0.933,0,7,7,8,4,0,4,3,38,35.6,
1984-85,Regular,47,1/2/85,21,21.96,CHI,Away,PHI,Lose,-11,37.00,9,16,0.563,0,2,0,13,14,0.929,0,6,6,5,2,0,3,5,31,25.3,
