Date,Ed Sheeran,Drake,Maroon 5
"December 21, 2019","18,783,066,627","337,124,977","291,067,778"
"December 20, 2019","18,775,723,021","337,008,461","290,244,893"
"December 19, 2019","18,768,544,731","336,891,853","289,303,321"
"December 18, 2019","18,761,688,640","336,786,617","288,678,578"
"December 17, 2019","18,755,005,554","336,684,503","288,362,014"
"December 16, 2019","18,748,237,881","336,579,835","288,189,159"
"December 15, 2019","18,741,453,380","336,481,682","288,076,102"
"December 14, 2019","18,733,582,889","336,374,213","287,984,489"
"December 13, 2019","18,726,424,756","336,270,761","287,905,667"
"December 12, 2019","18,719,772,372","336,173,071","287,840,917"
"December 11, 2019","18,712,960,851","336,070,985","287,795,977"
"December 10, 2019","18,706,191,200","335,970,206","287,749,529"
"December 9, 2019","18,699,540,120","335,874,394","287,698,640"
"December 8, 2019","18,692,141,950","335,779,470","287,618,185"
"December 7, 2019","18,683,807,356","335,674,255","287,463,086"
"December 6, 2019","18,676,153,111","335,571,788","287,295,107"
"December 5, 2019","18,669,459,044","335,471,876","287,032,197"
"December 4, 2019","18,662,896,989","335,373,934","286,420,099"
"December 3, 2019","18,656,494,406","335,276,895","285,557,706"
"December 2, 2019","18,650,432,742","335,184,506","284,480,396"
"December 1, 2019","18,643,486,286","335,083,819","283,528,341"
"November 30, 2019","18,635,845,107","334,981,479","282,781,481"
"November 29, 2019","18,628,633,778","334,884,363","281,946,701"
"November 28, 2019","18,621,805,948","334,778,428","281,422,620"
"November 27, 2019","18,615,439,966","334,679,159","281,071,747"
"November 26, 2019","18,609,070,332","334,580,373","280,801,544"
"November 25, 2019","18,603,195,880","334,490,484","280,550,832"
"November 24, 2019","18,596,762,970","334,394,537","280,289,994"
"November 23, 2019","18,589,206,051","334,287,718","280,003,262"
"November 22, 2019","18,582,315,395","334,178,153","279,760,108"
"November 21, 2019","18,576,151,511","334,083,591","279,505,276"
"November 20, 2019","18,569,730,944","333,986,671","279,266,440"
"November 19, 2019","18,563,435,279","333,887,825","279,003,105"
"November 18, 2019","18,557,241,797","333,795,657","278,664,326"
"November 17, 2019","18,550,514,047","333,698,371","278,178,137"
"November 16, 2019","18,542,651,092","333,590,566","277,437,738"
"November 15, 2019","18,535,327,412","333,489,175","276,415,916"
"November 14, 2019","18,528,579,999","333,389,019","275,117,841"
"November 13, 2019","18,521,751,546","333,289,566","273,916,052"
"November 12, 2019","18,514,760,151","333,187,054","272,770,045"
"November 11, 2019","18,508,204,567","333,091,312","272,013,520"
"November 10, 2019","18,500,995,221","332,993,741","271,251,739"
"November 9, 2019","18,492,885,536","332,894,223","270,576,988"
"November 8, 2019","18,485,507,852","332,797,256","269,912,617"
"November 7, 2019","18,478,502,358","332,706,593","269,154,608"
"November 6, 2019","18,471,925,881","332,615,740","268,521,921"
"November 5, 2019","18,464,962,452","332,522,170","268,009,090"
"November 4, 2019","18,458,792,407","332,435,551","267,456,257"
"November 3, 2019","18,451,218,812","332,337,152","266,852,346"
"November 2, 2019","18,443,532,026","332,233,897","266,402,502"
"November 1, 2019","18,436,032,751","332,131,215","266,048,926"
"October 31, 2019","18,428,952,072","332,030,246","265,861,642"
"October 30, 2019","18,422,029,076","331,933,041","265,756,133"
"October 29, 2019","18,415,214,632","331,841,810","265,693,738"
"October 28, 2019","18,408,432,794","331,749,791","265,643,202"
"October 27, 2019","18,401,295,506","331,653,739","265,589,153"
"October 26, 2019","18,393,320,479","331,552,502","265,531,068"
"October 25, 2019","18,385,155,506","331,442,501","265,480,819"
"October 24, 2019","18,377,287,147","331,335,218","265,440,080"
"October 23, 2019","18,369,744,497","331,235,366","265,397,110"
"October 22, 2019","18,361,896,901","331,133,851","265,350,558"
"October 21, 2019","18,354,454,925","331,034,264","265,307,715"
"October 20, 2019","18,346,432,278","330,932,307","265,228,643"
"October 19, 2019","18,337,482,144","330,827,236","265,030,844"
"October 18, 2019","18,328,619,915","330,715,683","264,737,105"
"October 17, 2019","18,320,456,039","330,605,873","264,410,499"
"October 16, 2019","18,312,662,323","330,515,178","264,204,501"
"October 15, 2019","18,304,672,727","330,422,617","264,050,039"
"October 14, 2019","18,296,903,723","330,329,382","263,882,925"
"October 13, 2019","18,288,426,424","330,232,434","263,770,460"
"October 12, 2019","18,279,155,322","330,133,933","263,610,918"
"October 11, 2019","18,270,216,038","330,035,194","263,446,626"
"October 10, 2019","18,261,647,195","329,935,653","263,288,201"
"October 9, 2019","18,252,842,272","329,834,804","263,177,907"
"October 8, 2019","18,243,659,377","329,746,015","263,125,204"
"October 7, 2019","18,234,294,271","329,659,802","263,088,920"
"October 6, 2019","18,223,132,620","329,571,728","263,051,380"
"October 5, 2019","18,208,578,708","329,474,379","263,010,219"
"October 4, 2019","18,196,367,261","329,374,807","262,972,699"
"October 3, 2019","18,186,523,533","329,277,905","262,937,928"
"October 2, 2019","18,176,912,779","329,185,304","262,916,870"
"October 1, 2019","18,167,606,682","329,093,845","262,896,674"
"September 30, 2019","18,158,577,362","329,006,437","262,878,738"
"September 29, 2019","18,148,950,104","328,912,886","262,859,533"
"September 28, 2019","18,138,435,247","328,802,723","262,835,170"
"September 27, 2019","18,129,308,238","328,704,427","262,811,550"
"September 26, 2019","18,120,735,968","328,602,564","262,786,073"
"September 25, 2019","18,112,133,518","328,507,104","262,755,790"
"September 24, 2019","18,104,072,397","328,412,705","262,732,572"
"September 23, 2019","18,096,042,859","328,325,232","262,709,128"
"September 22, 2019","18,086,905,339","328,233,102","262,679,047"
"September 21, 2019","18,076,448,807","328,128,721","262,626,229"
"September 20, 2019","18,067,074,287","328,025,295","262,564,627"
"September 19, 2019","18,057,973,829","327,928,081","262,521,316"
"September 18, 2019","18,049,218,267","327,829,661","262,468,655"
"September 17, 2019","18,040,284,915","327,726,648","262,438,249"
"September 16, 2019","18,031,675,836","327,627,128","262,407,004"
"September 15, 2019","18,022,491,313","327,519,038","262,376,634"
"September 14, 2019","18,011,759,879","327,404,958","262,332,136"
"September 13, 2019","18,002,080,666","327,294,484","262,259,958"
"September 12, 2019","17,990,924,685","327,184,728","262,106,435"
"September 11, 2019","17,981,420,981","327,073,359","261,930,571"
"September 10, 2019","17,972,460,131","326,955,577","261,833,333"
"September 9, 2019","17,964,040,812","326,788,685","261,724,635"
"September 8, 2019","17,954,864,092","326,693,169","261,600,107"
"September 7, 2019","17,945,258,767","326,594,409","261,398,023"
"September 6, 2019","17,934,333,746","326,489,601","261,192,545"
"September 5, 2019","17,923,775,896","326,382,823","261,048,024"
"September 4, 2019","17,913,236,659","326,279,264","260,922,951"
"September 3, 2019","17,903,199,178","326,171,369","260,809,740"
"September 2, 2019","17,892,841,104","326,068,707","260,742,112"
"September 1, 2019","17,882,564,175","325,966,966","260,660,999"
"August 31, 2019","17,870,484,757","325,860,000","260,570,037"
"August 30, 2019","17,859,762,900","325,749,275","260,494,691"
"August 29, 2019","17,848,786,444","325,638,477","260,439,957"
"August 28, 2019","17,838,345,332","325,522,815","260,380,071"
"August 27, 2019","17,828,213,228","325,416,862","260,317,963"
"August 26, 2019","17,818,072,350","325,306,739","260,260,343"
"August 25, 2019","17,807,403,655","325,190,536","260,191,886"
"August 24, 2019","17,794,352,638","325,058,684","260,071,711"
"August 23, 2019","17,783,064,202","324,954,236","259,864,037"
"August 22, 2019","17,773,648,111","324,849,170","259,626,015"
"August 21, 2019","17,763,985,746","324,733,786","259,289,463"
"August 20, 2019","17,754,257,558","324,624,428","258,873,356"
"August 19, 2019","17,745,556,949","324,518,106","258,520,113"
"August 18, 2019","17,735,733,675","324,407,286","258,124,124"
"August 17, 2019","17,724,571,441","324,277,900","257,769,995"
"August 16, 2019","17,713,988,613","324,145,067","257,367,967"
"August 15, 2019","17,703,978,749","324,007,835","256,868,882"
"August 14, 2019","17,692,224,259","323,856,722","256,093,982"
"August 13, 2019","17,682,302,755","323,704,473","255,539,338"
"August 12, 2019","17,672,237,893","323,569,024","255,091,608"
"August 11, 2019","17,661,178,309","323,418,361","254,779,340"
"August 10, 2019","17,648,454,254","323,253,008","254,497,942"
"August 9, 2019","17,635,215,778","323,098,743","254,289,856"
"August 8, 2019","17,624,989,496","322,951,102","254,124,869"
"August 7, 2019","17,615,150,925","322,789,004","254,011,355"
"August 6, 2019","17,605,634,129","322,630,255","253,916,550"
"August 5, 2019","17,596,093,342","322,467,159","253,857,964"
"August 4, 2019","17,586,332,276","322,318,585","253,814,315"
"August 3, 2019","17,575,010,612","322,141,933","253,763,260"
"August 2, 2019","17,564,332,829","321,874,377","253,705,176"
"August 1, 2019","17,553,998,771","321,697,311","253,634,743"
"July 31, 2019","17,543,494,637","373,171,417","253,572,449"
"July 30, 2019","17,533,190,216","373,032,453","253,499,518"
"July 29, 2019","17,522,589,651","372,895,730","253,397,315"
"July 28, 2019","17,512,047,833","372,762,479","253,228,993"
"July 27, 2019","17,499,994,705","372,615,638","253,031,847"
"July 26, 2019","17,487,967,085","372,464,444","252,800,621"
"July 25, 2019","17,476,239,001","372,326,452","252,546,368"
"July 24, 2019","17,464,637,005","372,188,166","252,287,716"
"July 23, 2019","17,452,791,740","372,061,026","251,984,773"
"July 22, 2019","17,441,101,155","371,935,307","251,707,543"
"July 21, 2019","17,429,436,877","371,817,627","251,496,543"
"July 20, 2019","17,415,488,789","371,685,549","251,366,567"
"July 19, 2019","17,400,559,618","371,547,676","251,286,234"
"July 18, 2019","17,384,932,995","371,409,263","251,228,010"
"July 17, 2019","17,368,858,677","371,266,492","251,177,833"
"July 16, 2019","17,351,910,775","371,127,901","251,117,762"
"July 15, 2019","17,334,749,197","370,995,761","251,070,169"
"July 14, 2019","17,316,320,103","370,846,556","251,011,022"
"July 13, 2019","17,293,880,036","370,683,497","250,948,028"
"July 12, 2019","17,268,042,943","370,517,986","250,877,655"
"July 11, 2019","17,256,899,635","370,362,776","250,792,123"
"July 10, 2019","17,245,628,130","370,204,600","250,684,250"
"July 9, 2019","17,235,036,969","370,063,371","250,491,972"
"July 8, 2019","17,223,608,067","369,920,302","250,244,273"
"July 7, 2019","17,213,310,960","369,778,623","249,901,909"
"July 6, 2019","17,200,403,135","369,625,247","249,525,111"
"July 5, 2019","17,184,171,944","369,477,889","249,030,240"
"July 4, 2019","17,173,201,714","369,323,960","248,512,861"
"July 3, 2019","17,161,246,188","369,170,984","247,840,848"
"July 2, 2019","17,148,769,130","369,023,745","247,264,047"
"July 1, 2019","17,137,674,775","368,887,705","246,814,531"
"June 30, 2019","17,126,439,404","368,753,358","246,352,385"
"June 29, 2019","17,111,989,460","368,593,557","245,984,503"
"June 28, 2019","17,095,162,520","368,434,836","245,731,988"
"June 27, 2019","17,084,558,337","368,270,695","245,543,313"
"June 26, 2019","17,074,125,157","368,119,579","245,402,716"
"June 25, 2019","17,063,445,798","367,960,788","245,286,917"
"June 24, 2019","17,053,138,983","367,812,929","245,159,497"
"June 23, 2019","17,041,890,272","367,646,777","245,046,925"
"June 22, 2019","17,028,729,174","367,466,824","244,944,347"
